number,E,index,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,displ_Bi,displ_Fe,displ_O,norm,min_d
10,-32.659640765,POSCAR3536,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.28,0.0,0.0,1.0,-0.26,0.0,0.649,0.172,0.502,1.138,1.898
11,-32.79678571375,POSCAR3542,0.0,0.0,0.0,0.0,0.0,1.16,0.0,-0.59,-0.5,-0.2,0.0,0.0,0.0,0.0,0.0,-0.46,0.0,0.0,0.0,0.0,0.0,0.441,0.173,0.525,1.482,1.879
12,-32.841286349375,POSCAR3553,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,-0.17,0.0,0.38,0.617,0.06,0.473,0.737,1.873
13,-33.07529978875,POSCAR3577,0.35,0.0,-0.52,0.0,0.0,0.19,0.0,0.0,0.0,0.82,0.0,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.043,0.683,1.273,1.846
14,-32.3918791275,POSCAR3590,0.0,0.0,0.0,0.0,-0.49,0.0,0.0,0.0,0.0,-0.62,0.0,-0.38,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.73,0.0,0.645,0.196,0.593,1.166,1.808
15,-32.98574582375,POSCAR3607,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,-0.65,0.0,0.0,0.0,0.52,-0.2,0.0,0.362,0.103,0.638,0.933,1.914
16,-32.2906497975,POSCAR3617,0.0,0.0,0.0,0.33,0.0,0.0,0.88,-1.17,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,0.0,0.0,0.897,0.146,0.66,1.6,1.805
17,-33.13036464875,POSCAR3637,-0.77,0.2,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285,0.0,0.427,0.917,1.865
18,-32.84568739125,POSCAR3651,0.0,-0.68,-0.27,0.0,0.0,0.0,0.0,-0.31,0.34,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544,0.036,0.447,0.9,1.807
19,-32.600840759375,POSCAR3653,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,-0.19,0.0,0.0,0.0,0.0,0.12,0.92,0.0,0.0,0.79,0.0,0.0,0.0,0.513,0.178,0.781,1.272,1.823
20,-33.092115645625,POSCAR3675,0.0,0.31,0.0,0.0,-0.34,0.0,0.0,0.0,0.0,0.0,-0.34,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.357,0.021,0.657,1.172,1.932
21,-32.6974105725,POSCAR3687,0.0,0.86,0.0,0.0,-0.32,-0.25,0.21,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.596,0.04,0.596,1.119,1.835
22,-32.79807137875,POSCAR3717,0.0,0.0,0.0,-0.17,0.0,-0.64,0.92,0.0,0.0,0.0,-0.47,0.0,0.0,0.0,-0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.584,0.146,0.491,1.31,1.905
23,-32.716223869375,POSCAR3721,0.0,0.0,0.0,0.0,-0.81,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.35,0.99,0.0,0.0,0.0,0.15,0.0,0.0,0.7,0.035,0.543,1.351,1.911
24,-32.765197534375,POSCAR3739,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,0.0,0.0,0.52,0.0,1.02,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.345,0.042,0.724,1.476,1.86
25,-33.01337812125,POSCAR3740,0.0,0.0,0.0,0.0,0.0,0.41,0.0,-0.77,0.0,0.0,0.0,0.0,-0.58,-0.08,0.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.31,0.037,0.462,1.09,1.888
26,-30.86544108875,POSCAR3749,0.0,0.79,0.0,0.0,-1.0,-0.19,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011,0.043,0.595,1.321,1.818
27,-32.9089581775,POSCAR3765,0.0,0.89,-0.52,0.0,0.0,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,-0.32,0.0,0.606,0.123,0.326,1.13,1.801
28,-32.933599025,POSCAR3781,0.0,0.0,0.0,0.0,0.0,0.2,-1.02,0.0,0.8,0.0,0.0,-1.1,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.124,0.714,1.72,1.9
29,-32.13432961875,POSCAR3787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,-0.89,0.0,-1.03,-0.58,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.069,0.012,1.024,1.864,1.825
30,-32.58398143625,POSCAR3800,0.0,0.0,0.0,0.0,0.0,-0.37,0.0,0.32,-0.14,0.0,0.0,0.0,0.0,-0.91,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.062,0.881,1.179,1.935
31,-32.360907778125,POSCAR3801,0.0,0.0,-0.24,0.41,0.0,0.0,0.0,0.0,-0.09,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86,0.0,0.736,0.231,0.639,1.106,1.807
32,-33.04737778625,POSCAR3818,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,-0.38,0.38,0.0,-0.42,0.0,0.0,-0.45,0.0,0.0,0.0,0.0,0.0,0.398,0.085,0.633,0.901,1.909
33,-32.67347903375,POSCAR3824,0.19,0.0,0.0,0.0,0.0,0.0,-0.58,0.4,0.0,0.0,0.0,0.0,-0.38,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.49,0.128,0.639,1.03,1.802
34,-32.2892782575,POSCAR3828,0.0,0.0,0.0,0.0,0.0,0.0,0.99,-0.41,0.0,0.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.46,0.0,0.0,0.741,0.204,0.825,1.552,1.842
35,-32.93512580375,POSCAR3832,-0.33,0.0,0.0,0.0,0.0,-0.16,0.0,0.0,0.0,1.09,0.69,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.036,0.823,1.691,1.918
36,-32.696202698125,POSCAR3846,0.0,-0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.52,0.0,-0.75,0.59,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.484,0.006,0.819,1.455,1.804
37,-32.12309784375,POSCAR3847,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,-0.13,0.0,0.11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.706,0.121,0.688,1.443,1.814
38,-32.84794610375,POSCAR3850,0.0,0.0,0.0,0.0,0.0,0.18,0.0,-0.72,0.0,-0.45,0.0,0.34,0.0,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464,0.064,0.771,1.178,1.879
39,-32.271593044375,POSCAR3868,0.0,-0.67,-0.37,0.0,0.0,0.0,0.0,0.0,0.14,0.7,0.0,0.0,0.0,0.0,0.0,-0.57,0.0,0.0,0.0,0.0,0.0,0.634,0.021,0.74,1.192,1.828
40,-33.1337879725,POSCAR3880,0.0,0.29,0.0,0.0,0.0,0.0,-0.34,0.28,0.0,0.22,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313,0.06,0.664,1.275,1.925
41,-30.8813655175,POSCAR3895,0.0,0.0,0.0,0.0,-0.47,0.11,0.0,0.0,1.07,-1.03,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291,0.173,1.222,1.634,1.81
42,-33.02459454875,POSCAR3910,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.18,0.0,0.75,0.95,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.026,0.721,1.275,1.847
43,-32.712183455,POSCAR3917,0.0,0.47,0.0,0.0,-0.41,0.0,0.72,0.0,0.0,0.0,0.0,0.0,-0.3,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674,0.161,0.593,1.037,1.827
44,-32.748920095625,POSCAR3921,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,-0.7,0.45,0.0,0.0,0.0,-0.22,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.683,0.115,0.641,0.89,1.842
45,-32.67002297125,POSCAR3954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,-0.97,0.0,0.0,0.47,0.2,0.0,0.0,-0.59,0.408,0.065,0.794,1.25,1.899
46,-32.81838572375,POSCAR3956,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,-0.81,0.06,0.0,0.0,0.6,0.0,0.0,0.0,-0.61,0.0,0.0,0.449,0.083,0.661,1.192,1.879
47,-32.7747709575,POSCAR3965,0.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.57,-0.79,0.0,0.0,0.0,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.402,0.045,0.954,1.318,1.904
48,-33.002309928125,POSCAR4014,0.0,0.0,0.0,0.0,0.0,0.31,0.0,-0.52,0.0,0.58,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.17,0.0,0.0,0.213,0.032,0.522,0.907,1.908
49,-33.02017582875,POSCAR4026,0.0,0.0,0.0,0.0,0.0,-0.14,0.53,0.0,-0.85,0.0,0.0,0.73,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366,0.041,0.478,1.26,1.859
50,-32.77120353375,POSCAR4038,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.72,0.0,-0.61,0.0,0.0,0.0,-0.65,0.0,0.0,0.459,0.079,0.631,1.179,1.867
51,-32.07892794125,POSCAR4060,0.0,0.0,0.0,0.53,0.39,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.19,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.594,0.005,0.547,1.104,1.822
52,-32.44253934125,POSCAR4065,-0.47,0.0,0.0,0.19,0.12,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.77,0.0,0.656,0.207,0.464,0.968,1.827
53,-32.900192768125,POSCAR4089,0.84,0.0,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,0.67,0.0,0.0,0.0,0.0,0.0,0.376,0.004,0.59,1.144,1.858
54,-32.69961549625,POSCAR4095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47,0.0,0.0,-0.42,-0.39,0.0,-0.36,0.0,0.0,0.0,0.0,-0.51,0.0,0.0,0.539,0.092,0.597,0.969,1.85
55,-32.641062911875,POSCAR4108,0.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,0.0,0.0,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,-1.06,0.78,0.0,0.696,0.285,0.693,1.54,1.823
56,-32.68737819,POSCAR4121,0.0,0.0,0.08,0.0,0.0,-1.08,0.0,0.73,0.0,0.72,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.338,0.172,0.874,1.647,1.899
57,-32.6212770675,POSCAR4139,0.0,0.0,0.69,0.0,-0.38,0.0,-0.47,0.0,0.4,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529,0.067,0.631,1.263,1.825
58,-32.09976570625,POSCAR4165,0.0,0.0,0.0,-0.55,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.41,0.0,0.0,-0.69,0.0,0.0,0.653,0.089,0.666,1.346,1.801
59,-33.10805187,POSCAR4170,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.41,0.97,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.428,1.166,1.935
60,-32.66609335875,POSCAR4176,-0.24,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,-0.92,-0.16,0.0,0.0,0.0,0.0,-0.63,0.0,0.0,0.538,0.092,0.615,1.174,1.804
61,-32.57851554,POSCAR4177,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.72,0.0,-0.31,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.278,0.026,0.968,1.223,1.904
62,-32.44701758,POSCAR4181,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.16,0.3,0.0,0.0,0.53,0.12,0.0,0.0,0.0,0.0,0.0,0.174,0.001,0.748,1.339,1.881
63,-32.970885478125,POSCAR4200,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.2,0.76,0.36,0.0,0.0,0.0,0.0,0.0,0.0,-0.32,0.0,0.462,0.099,0.479,1.039,1.886
64,-32.517379366875,POSCAR4203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,0.0,0.06,0.0,0.0,0.0,0.55,0.0,-0.72,0.0,-0.4,0.0,0.0,0.561,0.059,0.482,1.019,1.821
65,-33.2513985175,POSCAR4211,-0.1,0.0,0.0,0.0,0.0,0.4,-0.66,0.0,0.0,0.31,0.0,0.0,-0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411,0.106,0.543,1.165,1.915
66,-32.93940884625,POSCAR4232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,0.0,0.0,0.0,0.53,0.0,0.16,-0.34,0.0,-0.22,0.328,0.056,0.682,0.81,1.908
67,-32.715044323125,POSCAR4281,0.0,-0.29,0.0,0.0,0.0,0.18,-0.1,0.0,0.0,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.485,0.029,0.424,0.794,1.833
68,-33.09161331,POSCAR4293,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.31,0.0,0.0,0.43,0.0,0.0,0.0,-0.17,0.0,0.0,0.197,0.021,0.606,0.71,1.892
69,-32.719603045,POSCAR4328,-0.08,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.75,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.495,0.085,0.559,1.078,1.859
70,-32.822866048125,POSCAR4344,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,1.17,0.0,0.0,-0.31,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,0.293,0.065,0.843,1.29,1.911
71,-32.9799329675,POSCAR4363,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,-0.44,0.0,0.0,0.0,0.0,0.0,-0.51,-0.35,0.0,0.0,0.0,0.33,0.0,0.511,0.145,0.469,1.046,1.878
72,-33.171385955625,POSCAR4391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,-0.8,-0.61,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.44,0.148,0.023,0.444,1.111,1.919
73,-32.81422722,POSCAR4395,0.0,0.0,0.0,0.0,0.0,-0.83,0.75,0.0,-0.45,0.0,0.0,0.0,0.0,0.0,-0.52,-0.12,0.0,0.0,0.0,0.0,0.0,0.579,0.135,0.466,1.319,1.889
74,-32.524076001875,POSCAR4401,0.0,0.38,0.0,0.0,-0.1,0.0,0.0,0.0,-0.18,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.532,0.026,0.606,1.128,1.827
75,-32.809485693125,POSCAR4411,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,-0.36,0.0,0.0,-0.41,0.0,0.0,-1.01,-0.2,0.0,0.0,0.0,0.0,0.0,0.462,0.052,0.8,1.194,1.888
76,-32.962619261875,POSCAR4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.52,0.0,0.26,0.0,-0.59,0.61,0.0,0.322,0.198,0.659,1.291,1.862
77,-32.77786448375,POSCAR4423,0.0,0.0,0.0,-0.61,1.02,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,0.0,0.2,0.0,0.548,0.071,0.396,1.283,1.851
78,-32.28283852,POSCAR4460,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.12,0.0,0.57,-0.27,-0.13,0.0,0.0,0.0,0.563,0.126,0.721,1.408,1.883
79,-32.47756443125,POSCAR4468,0.0,0.0,0.0,0.0,-0.23,0.0,0.0,0.0,0.79,0.0,0.73,-0.88,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.828,0.114,0.633,1.412,1.823
80,-32.476024124375,POSCAR4483,-0.81,0.0,0.0,0.0,0.0,0.75,-0.98,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.802,0.157,0.515,1.483,1.82
81,-31.7254821825,POSCAR4493,0.0,0.0,0.0,0.12,0.0,0.0,-1.07,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.46,-0.62,0.0,1.108,0.381,0.769,1.341,1.831
82,-32.442239549375,POSCAR4499,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,-1.11,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.16,0.51,0.334,0.048,0.93,1.282,1.867
83,-32.945830029375,POSCAR4516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,0.0,-0.39,0.0,0.23,0.0,0.0,0.34,0.33,0.357,0.091,0.487,0.688,1.869
84,-33.05374889,POSCAR4545,0.47,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.261,0.012,0.744,1.342,1.92
85,-32.865684231875,POSCAR4552,-0.7,0.0,0.65,0.0,0.0,-0.62,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.0,0.0,0.429,0.088,0.469,1.345,1.803
86,-32.6399144,POSCAR4562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.93,0.0,-0.65,0.51,0.0,0.0,0.0,0.67,0.0,-0.51,0.0,0.49,0.138,0.628,1.502,1.82
87,-32.81869096875,POSCAR4580,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.3,0.34,-0.71,0.0,0.395,0.192,0.506,0.967,1.859
88,-32.3483412825,POSCAR4590,0.0,0.79,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.68,-0.12,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.515,0.045,0.596,1.077,1.813
89,-32.7865821125,POSCAR4615,0.0,-0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,0.61,0.0,0.0,0.0,0.07,0.28,0.0,0.0,0.0,0.0,0.47,0.0,0.498,1.049,1.831
90,-32.020776659375,POSCAR4622,0.0,-0.12,0.0,0.59,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.11,0.0,0.0,0.0,0.0,0.15,0.59,0.063,0.699,1.302,1.844
91,-32.94430867625,POSCAR4625,0.0,0.0,0.0,-0.12,0.0,0.0,0.61,-0.22,0.0,0.0,0.0,-0.86,0.0,0.0,-0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.123,0.599,1.13,1.886
92,-33.06025167,POSCAR4631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,0.76,0.0,0.0,0.0,0.0,0.0,0.12,-0.2,0.0,0.0,0.0,0.355,0.066,0.646,0.87,1.849
93,-32.481117415,POSCAR4640,-0.41,0.0,0.67,0.42,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,-0.85,0.0,0.0,0.0,0.0,0.0,0.451,0.006,0.772,1.239,1.805
94,-31.9250447675,POSCAR4646,0.0,0.21,-0.43,0.15,0.92,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698,0.0,0.574,1.483,1.859
95,-33.02209093625,POSCAR4651,0.0,0.0,0.0,-0.4,0.0,-0.13,0.0,0.33,0.0,0.0,0.0,-0.72,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.019,0.514,0.934,1.883
96,-32.643548079375,POSCAR4663,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.69,0.0,-1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.407,0.043,0.766,1.418,1.828
97,-32.89396378125,POSCAR4698,0.0,0.0,0.5,0.0,0.0,0.0,0.34,0.0,0.0,-0.2,0.27,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.076,0.826,1.224,1.843
98,-32.5083759775,POSCAR4708,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.22,0.0,-0.98,0.0,0.79,0.0,0.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.454,0.099,0.836,1.344,1.83
99,-32.513234670625,POSCAR4713,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,0.0,-0.52,-0.72,0.0,0.0,0.0,0.0,0.0,-0.69,0.0,0.551,0.185,0.636,1.259,1.82
100,-32.59588191125,POSCAR4739,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.11,0.0,0.0,0.0,-0.43,0.0,-0.72,0.0,0.0,0.528,0.087,0.575,1.009,1.908
101,-32.60084941125,POSCAR4754,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,-0.65,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,0.0,0.483,0.175,0.797,1.05,1.888
102,-33.099589931875,POSCAR4757,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,-0.94,-0.43,0.0,0.0,0.0,0.0,0.0,-0.19,0.139,0.01,0.794,1.455,1.863
103,-32.3197690425,POSCAR4763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,-0.92,0.54,0.77,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887,1.326,1.849
104,-32.99594736875,POSCAR4804,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,-0.28,0.0,-0.47,0.0,0.0,0.0,0.0,0.0,-0.56,0.222,0.029,0.628,0.836,1.862
105,-32.011238410625,POSCAR4810,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.45,-0.31,0.0,0.0,0.0,0.83,0.0,-0.15,0.0,0.0,0.0,0.0,0.684,0.0,0.82,1.418,1.883
106,-32.49327657875,POSCAR4817,0.0,0.0,0.29,0.0,-0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,-0.2,0.0,0.0,-0.05,0.0,0.0,0.0,0.546,0.009,0.518,1.087,1.837
107,-32.976121765,POSCAR4820,0.0,0.0,0.0,0.0,0.0,0.0,-0.97,0.0,0.6,-0.06,0.0,0.0,0.0,0.15,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.334,0.16,0.52,1.353,1.932
108,-32.5746899175,POSCAR4830,-0.74,0.0,0.0,0.0,0.0,0.0,-0.79,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,-0.89,0.0,0.429,0.317,0.756,1.731,1.818
109,-32.56432674125,POSCAR4847,0.0,-0.69,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.38,-0.89,-0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.128,0.686,1.619,1.823
110,-33.00236541,POSCAR4849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,0.0,-0.49,1.08,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.47,0.0,0.443,0.128,0.567,1.331,1.807
