number,E,index,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,displ_Bi,displ_Fe,displ_O,norm,min_d
0,-32.679875548125,POSCAR3449,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.71,0.0,-0.4,0.0,0.08,0.0,0.645,0.153,0.601,0.953,1.877
1,-32.9649539425,POSCAR3478,0.0,0.0,0.0,0.3,0.0,0.0,-0.41,0.0,0.55,-1.15,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293,0.039,0.809,1.421,1.936
2,-32.812342684375,POSCAR3484,0.0,0.0,0.0,0.0,0.0,-0.72,0.0,0.94,0.0,-0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-0.43,0.0,0.368,0.145,0.649,1.413,1.874
3,-32.99092217875,POSCAR3491,0.0,-0.57,0.0,0.0,0.0,0.0,0.2,-0.33,0.0,0.0,-0.59,0.0,0.0,-0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344,0.036,0.709,1.183,1.875
4,-32.767904806875,POSCAR3502,0.0,0.0,0.0,0.0,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.7,0.0,0.0,0.0,-0.18,0.0,0.89,0.422,0.049,0.708,1.324,1.864
5,-32.96440843125,POSCAR3507,0.0,0.42,0.0,0.0,-0.41,0.0,0.0,0.0,0.0,0.0,-0.7,0.66,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.477,0.001,0.585,1.141,1.883
6,-32.462908975625,POSCAR3514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,-0.34,0.0,-0.44,-0.53,0.721,0.119,0.559,1.047,1.806
7,-32.783472523125,POSCAR3521,-0.06,0.0,0.0,0.0,0.0,-0.34,0.0,0.0,0.0,-0.51,0.0,0.0,0.0,0.0,0.86,0.0,-0.12,0.0,0.0,0.0,0.0,0.33,0.076,0.893,1.065,1.918
8,-32.8520498175,POSCAR3522,0.0,0.0,0.0,0.31,0.0,0.0,1.19,-0.22,-1.08,-0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316,0.148,0.79,1.723,1.875
9,-32.60964825,POSCAR3534,0.0,0.0,0.0,0.0,0.57,0.0,-0.49,0.18,-0.12,0.0,0.0,0.0,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.791,0.11,0.533,0.902,1.876
