number,E,index,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,displ_Bi,displ_Fe,displ_O,norm,min_d
0,-32.291739235,POSCAR73,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.89,0.0,0.0,-0.47,-0.8,0.0,0.31,0.3,0.0,0.16,0.401,0.067,1.023,1.4,1.828
1,-32.52634341125,POSCAR672,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,-0.82,0.0,-0.38,0.0,0.54,1.11,0.54,0.0,-0.32,0.0,0.0,0.0,0.0,0.562,0.086,0.957,1.716,1.832
2,-31.883254664375,POSCAR783,0.0,-0.82,0.0,0.0,0.0,0.0,-0.24,-0.12,0.0,0.0,1.11,-0.68,0.0,0.0,1.03,0.0,0.0,0.0,-0.08,0.0,0.0,0.603,0.068,1.07,1.872,1.831
3,-31.496551378125,POSCAR806,0.0,0.0,0.0,0.0,0.0,0.0,-1.19,0.0,1.06,0.0,0.54,-0.67,0.0,0.0,0.0,1.03,0.22,0.0,0.59,0.0,0.0,0.539,0.179,1.026,2.177,1.82
4,-32.852727160625,POSCAR1126,0.0,0.82,-0.64,0.52,-0.61,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.504,0.071,0.454,1.415,1.813
5,-32.16730523125,POSCAR1182,0.0,0.0,0.0,0.0,0.0,0.37,-0.38,-0.17,0.0,0.0,0.0,-0.34,-0.52,0.0,0.0,0.0,-0.81,0.0,-0.45,0.0,0.0,0.576,0.081,0.627,1.247,1.81
6,-30.69030565125,POSCAR1327,0.0,-0.95,0.24,0.0,0.89,0.76,0.0,0.0,-0.87,-0.72,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976,0.126,1.199,1.945,1.824
7,-32.8299876775,POSCAR1390,-1.01,0.87,0.0,0.0,0.25,0.0,0.0,0.21,0.0,0.0,0.0,-0.48,0.0,0.16,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,0.529,0.03,0.656,1.509,1.821
8,-32.474149033125,POSCAR1688,0.66,0.2,0.0,0.0,0.0,0.47,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,-0.57,-0.63,0.0,0.0,0.0,-0.51,0.0,0.0,0.603,0.1,0.615,1.323,1.83
9,-32.843067245,POSCAR1702,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,-0.85,0.0,0.0,0.63,1.07,0.11,0.0,0.0,-0.26,0.0,-0.52,0.0,0.0,0.486,0.174,0.717,1.95,1.91
