number,E,index,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,displ_Bi,displ_Fe,displ_O,norm,min_d
10,-32.57004430875,POSCAR1804,0.36,0.0,0.0,0.0,-0.69,0.0,0.0,0.0,0.0,-0.65,0.77,-0.82,0.0,0.0,0.0,-0.44,0.0,0.0,0.0,0.0,-0.25,0.612,0.014,0.703,1.597,1.814
11,-33.23217250375,POSCAR2209,0.0,0.0,0.0,0.0,-0.45,0.0,0.0,0.12,0.0,-0.81,-0.49,-0.68,-0.67,0.0,0.0,0.0,0.0,-0.12,0.0,0.0,0.0,0.402,0.021,0.63,1.428,1.932
12,-31.651391913125,POSCAR3135,0.0,-0.93,0.0,0.0,0.51,0.0,0.0,0.46,0.0,-0.47,0.0,0.0,0.0,-0.84,-0.99,0.0,-0.09,0.0,0.0,0.0,0.0,0.83,0.066,1.039,1.803,1.826
13,-32.88343057,POSCAR3263,0.12,0.0,0.0,0.0,0.48,0.0,0.0,0.0,-0.15,0.0,-1.09,0.53,-0.92,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.538,0.022,0.523,1.683,1.893
14,-9999.0,POSCAR3334,0.0,-0.1,0.0,0.0,0.0,-0.63,0.0,0.0,0.0,0.0,1.15,0.0,1.19,0.0,-1.11,0.0,0.0,0.0,-0.09,0.3,0.0,0.53,0.145,1.106,2.116,1.831
15,-32.43910316875,POSCAR3371,0.0,0.0,0.0,1.2,-0.84,0.0,0.0,0.0,0.0,0.92,0.0,0.0,-0.78,-0.3,-0.37,0.12,0.0,0.0,0.0,0.0,0.0,0.551,0.001,0.773,1.96,1.86
16,-32.616059385,POSCAR3581,-0.51,0.94,0.0,0.0,0.0,0.0,0.0,-0.38,0.0,0.66,0.0,0.0,0.0,0.0,0.21,0.38,0.19,0.0,0.0,0.0,0.0,0.621,0.055,0.718,1.396,1.821
17,-32.99146974,POSCAR3588,1.06,-0.25,-0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.51,-0.44,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.381,0.016,0.589,1.616,1.836
18,-9999.0,POSCAR3694,0.0,0.0,0.0,0.0,-0.89,0.0,0.0,0.0,0.0,0.97,-0.26,0.0,-0.26,-0.9,-0.35,-0.14,0.0,0.0,0.0,0.0,0.0,0.58,0.001,0.879,1.679,1.906
19,-32.224290344375,POSCAR3854,0.0,0.0,0.0,0.98,-0.19,0.0,0.0,0.0,0.0,-0.42,0.0,0.0,0.0,-0.3,-0.68,0.0,0.0,0.0,0.42,-0.52,0.0,0.586,0.16,0.658,1.474,1.897
20,-32.1859339025,POSCAR3948,0.0,0.0,0.0,0.0,0.0,1.15,0.88,-0.76,-0.5,-0.95,-0.11,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.309,1.11,1.963,1.814
21,-9999.0,POSCAR3967,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,-0.39,0.0,0.74,-0.69,-0.62,0.0,0.0,0.0,0.0,-0.11,0.24,0.0,0.258,0.065,0.95,1.321,1.833
22,-32.839994471875,POSCAR4183,-0.37,0.72,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,-1.14,0.64,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.41,0.524,0.03,0.721,1.628,1.86
23,-32.475861940625,POSCAR4279,0.0,0.0,0.0,0.0,0.0,0.53,0.61,-0.85,-0.66,-0.92,0.0,0.0,0.0,0.0,0.0,0.49,0.0,-0.18,0.0,0.0,0.0,0.411,0.103,1.02,1.712,1.802
24,-33.12707627625,POSCAR4368,0.51,-0.73,0.0,0.0,0.0,0.0,0.18,0.0,0.0,-0.13,0.76,0.0,0.0,-0.78,-1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.369,0.04,0.655,1.812,1.908
25,-32.9188569525,POSCAR4400,-0.92,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.74,0.0,0.0,0.0,0.0,0.27,-0.29,0.0,0.15,0.492,0.059,0.542,1.547,1.814
26,-32.734671404375,POSCAR4788,0.0,0.0,0.0,-0.6,0.0,-0.86,0.0,0.71,0.0,-0.23,0.91,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.0,0.545,0.169,0.437,1.913,1.887
27,-32.2745381875,POSCAR5170,0.0,0.0,-0.35,0.0,0.0,0.0,0.7,0.0,-1.07,1.2,0.0,0.0,0.0,-0.23,0.07,0.28,0.0,0.0,0.0,0.0,0.0,0.469,0.054,1.23,1.826,1.832
28,-32.672666993125,POSCAR5203,0.0,0.0,0.0,0.0,0.0,0.76,0.0,-0.86,0.0,-1.08,0.0,-0.43,0.0,0.0,0.0,0.14,0.0,0.59,0.0,0.0,0.15,0.48,0.191,0.938,1.749,1.822
29,-32.72814883875,POSCAR5653,0.0,0.0,0.0,0.0,0.55,0.54,-0.61,0.0,0.0,0.0,0.0,0.0,-0.5,0.79,0.67,0.0,0.0,0.0,0.0,0.11,0.0,0.642,0.097,0.507,1.517,1.825
30,-32.33657012125,POSCAR5828,0.0,0.0,0.0,-0.52,0.0,0.0,0.38,0.0,-0.26,-0.57,0.0,0.0,0.0,-0.96,0.0,0.5,0.0,0.0,0.0,0.0,0.15,0.481,0.06,0.957,1.415,1.842
31,-32.82037743375,POSCAR5933,0.0,-0.17,0.0,0.0,0.0,0.0,0.42,0.75,-0.56,0.0,0.46,0.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623,0.118,0.504,1.727,1.804
32,-32.81556667625,POSCAR5958,0.0,0.0,-0.45,0.0,-0.26,0.0,-1.14,0.0,0.99,0.23,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.368,0.16,1.032,1.741,1.847
33,-32.64011382125,POSCAR6433,0.0,0.0,0.0,0.0,0.0,-0.28,-0.29,0.0,0.39,0.0,0.0,-0.39,0.0,0.0,0.91,0.0,0.0,-0.52,0.33,0.0,0.0,0.528,0.179,0.797,1.294,1.805
34,-32.6664651775,POSCAR6571,0.6,0.0,0.0,0.0,0.0,-0.27,0.59,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,-1.01,0.38,0.18,0.0,0.0,0.0,0.0,0.576,0.099,0.752,1.452,1.828
35,-9999.0,POSCAR6588,0.0,0.0,0.0,0.0,0.0,-0.33,0.0,0.77,-0.21,-0.34,-0.12,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.442,0.046,1.207,1.614,1.832
36,-32.597944478125,POSCAR6591,0.28,0.0,0.0,0.0,0.0,-0.22,0.0,0.0,0.72,1.02,1.03,-0.61,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.515,0.077,0.888,1.767,1.915
37,-33.172919976875,POSCAR6669,-0.68,1.02,-0.48,0.0,0.08,0.0,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,-0.35,0.0,-0.13,0.0,0.0,0.0,0.0,0.0,0.301,0.001,0.614,1.582,1.872
38,-32.93096142125,POSCAR6758,0.0,0.0,-0.43,0.25,0.0,-0.65,-0.39,0.58,0.0,0.0,0.0,-0.45,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.164,0.505,1.185,1.86
39,-33.26924974375,POSCAR6761,-0.43,0.0,0.0,0.0,0.0,-0.4,0.26,0.28,0.0,0.0,0.82,-1.19,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.046,0.559,1.658,1.892
40,-33.06442204625,POSCAR6766,0.0,0.0,0.0,0.29,0.0,0.0,0.35,-0.34,0.0,0.0,0.4,0.0,0.71,0.0,0.55,0.0,0.0,0.0,-0.28,0.0,0.0,0.39,0.069,0.559,1.169,1.904
41,-32.33850179875,POSCAR7046,0.0,0.0,0.24,0.0,0.62,0.0,-0.43,0.0,0.0,0.56,0.0,-0.22,0.0,-1.09,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.848,0.096,0.836,1.549,1.892
42,-32.348532601875,POSCAR7301,0.0,0.0,0.0,0.0,0.09,0.94,0.0,0.0,-0.69,0.0,0.0,-0.67,0.0,0.0,0.0,-0.17,0.0,0.0,0.93,-0.6,0.0,0.821,0.263,0.851,1.752,1.82
43,-9999.0,POSCAR7349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,-0.89,-0.41,0.0,-0.19,0.0,0.82,0.5,0.42,0.0,0.0,0.0,0.0,0.324,0.018,1.064,1.452,1.865
44,-32.98034331125,POSCAR7435,0.0,0.14,0.0,0.0,0.0,-0.35,-0.6,0.0,1.09,0.0,-0.28,0.0,-0.79,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.101,0.747,1.702,1.853
45,-32.64129418875,POSCAR7734,0.0,-0.36,0.0,0.0,0.0,0.0,-0.77,0.0,0.59,0.0,0.62,0.0,0.0,0.0,-0.17,0.0,0.0,0.0,0.0,-0.57,-0.37,0.501,0.248,0.681,1.395,1.84
46,-32.46762025875,POSCAR7793,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.48,0.85,1.14,0.0,0.0,0.1,0.0,0.0,0.87,0.0,0.0,0.625,0.106,0.521,1.769,1.853
47,-32.71985386375,POSCAR8001,0.0,0.0,0.0,0.24,0.49,0.73,0.0,-0.94,0.38,-0.58,0.0,0.0,0.0,-0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.102,0.911,1.634,1.888
48,-32.48124241625,POSCAR8186,0.0,0.0,0.0,0.0,0.0,0.3,0.81,-0.99,-0.25,0.0,-1.13,0.0,0.0,0.58,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.139,0.811,1.887,1.839
49,-31.60802537125,POSCAR8189,1.07,-0.46,0.0,0.0,0.0,0.0,-0.81,0.89,0.0,0.54,0.0,0.7,0.0,-0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805,0.135,1.185,2.03,1.812
50,-32.6006609625,POSCAR8200,0.0,0.0,0.0,-0.4,0.0,0.58,0.65,0.0,-1.02,0.0,0.0,-0.18,0.0,0.0,0.95,0.0,0.0,0.0,0.17,0.0,0.0,0.597,0.168,0.804,1.71,1.881
51,-32.0816970275,POSCAR8238,0.0,0.0,0.0,0.0,1.04,0.13,-0.32,0.0,0.24,0.69,-0.5,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.682,0.035,0.693,1.476,1.811
52,-31.30800494875,POSCAR8437,0.0,0.0,0.0,0.0,0.0,0.31,0.27,0.0,0.0,-0.64,-0.44,0.0,-0.7,1.06,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.12,1.093,1.593,1.853
53,-32.7872470175,POSCAR8526,-0.64,0.0,0.0,0.0,0.0,0.12,-0.75,0.0,0.66,0.0,0.0,0.0,-0.4,0.0,-0.18,0.0,0.0,0.0,0.0,-0.46,0.0,0.46,0.2,0.655,1.351,1.825
54,-32.4992038725,POSCAR8574,0.0,-0.99,0.25,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.1,0.0,-0.27,0.76,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.574,0.067,0.79,1.714,1.818
55,-32.873780609375,POSCAR8581,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,-0.82,0.76,0.0,0.0,0.11,0.0,0.0,0.32,0.0,0.0,0.0,0.3,-0.3,0.319,0.174,0.841,1.483,1.882
56,-32.557134313125,POSCAR8706,0.0,0.0,0.0,0.0,0.33,0.38,0.0,0.0,0.0,1.03,-0.57,0.0,-0.76,0.0,0.4,0.0,0.0,0.0,0.0,0.09,0.0,0.42,0.094,0.984,1.544,1.927
57,-32.637631345,POSCAR8913,0.59,0.0,0.0,-0.54,0.54,0.0,0.55,0.0,-0.93,0.0,0.0,0.44,0.0,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.615,0.045,0.565,1.526,1.806
58,-32.736981483125,POSCAR8977,0.0,-0.64,0.0,0.0,0.0,-0.7,0.45,0.53,0.0,0.13,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.642,0.09,0.506,1.297,1.803
59,-32.784825099375,POSCAR9065,0.0,0.0,-0.27,0.11,0.0,0.0,0.0,0.0,0.69,0.67,-0.79,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.666,0.104,0.508,1.503,1.807
60,-32.345824328125,POSCAR9336,0.0,0.0,0.0,0.0,0.31,0.99,-0.79,-0.98,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,0.0,0.18,0.943,0.139,0.468,1.679,1.826
61,-32.92651440375,POSCAR9357,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,-0.74,-0.08,0.45,0.0,0.69,0.0,0.71,0.0,0.0,0.0,-0.37,0.0,0.0,0.367,0.057,0.711,1.435,1.873
62,-32.12300775875,POSCAR9519,0.0,0.0,0.09,0.0,0.18,0.0,0.0,0.98,-0.69,-1.17,0.29,0.0,0.0,0.0,0.0,-0.43,0.0,0.0,0.0,0.0,0.0,0.685,0.1,0.894,1.765,1.813
63,-31.771411925625,POSCAR9577,0.0,0.57,-0.47,-0.17,0.0,0.0,0.0,-0.07,0.0,0.0,-0.92,1.12,0.0,0.0,0.0,0.0,0.0,0.0,-1.07,0.0,0.0,0.731,0.13,0.825,1.956,1.825
64,-32.590864489375,POSCAR9673,0.0,0.0,0.0,-0.71,0.76,0.0,0.98,0.0,-0.84,0.0,0.0,0.0,0.0,-0.76,-0.81,0.0,0.0,-0.66,0.0,0.0,0.0,0.579,0.147,0.696,2.102,1.821
65,-9999.0,POSCAR9690,0.51,0.0,0.0,0.0,-0.39,0.41,-0.6,0.0,0.0,0.87,0.0,0.0,0.0,-1.04,-1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.095,1.052,1.97,1.863
66,-32.3362703325,POSCAR9794,0.0,0.0,0.0,0.0,0.0,-0.48,-0.26,1.07,0.0,0.0,0.0,0.0,-0.24,-0.47,0.0,0.0,0.1,0.0,0.0,0.0,-0.77,0.619,0.089,0.696,1.525,1.814
67,-32.8217427825,POSCAR9805,0.13,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.85,0.0,-1.13,0.0,-0.67,0.0,0.0,-0.43,-0.31,0.0,0.0,0.455,0.084,0.821,1.682,1.822
68,-32.86909194375,POSCAR10237,0.0,-0.33,0.0,0.0,0.0,0.0,0.67,0.14,-0.41,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.57,-0.67,0.0,0.489,0.216,0.812,1.52,1.863
69,-32.553725448125,POSCAR10383,0.0,-0.85,0.0,0.0,0.0,-0.37,0.0,0.0,0.0,0.26,-0.55,0.57,0.0,0.27,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.606,0.083,0.707,1.288,1.801
70,-32.02420715,POSCAR10419,0.0,0.0,0.28,0.0,0.83,0.0,0.77,0.0,-0.85,0.64,0.0,-0.49,-1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674,0.091,0.752,1.953,1.824
71,-32.64461393625,POSCAR10971,0.0,0.0,0.0,0.0,-0.39,0.0,-0.08,0.0,0.0,0.0,0.55,0.0,1.19,-0.51,0.55,0.29,0.0,0.0,0.0,0.0,0.0,0.338,0.018,0.923,1.589,1.901
72,-32.389096253125,POSCAR11096,0.76,-0.37,0.28,0.0,0.0,0.0,0.0,0.0,0.0,-0.71,-0.66,0.0,0.0,-0.42,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.323,0.002,0.827,1.425,1.803
73,-32.7409968025,POSCAR11270,0.0,-0.08,0.0,-0.76,0.52,0.0,-1.02,0.0,0.65,0.0,-1.07,0.0,-0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.166,0.532,2.071,1.852
74,-32.755426935,POSCAR11627,0.0,0.58,-0.63,0.0,-0.38,0.0,-0.39,0.57,0.0,0.0,0.0,-0.56,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.065,0.74,1.519,1.818
75,-32.666660280625,POSCAR11658,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,-0.35,-0.62,0.0,0.35,-0.82,0.0,-0.52,0.0,0.2,0.0,0.425,0.093,0.795,1.28,1.853
76,-32.10113333625,POSCAR11696,0.0,0.0,0.0,0.0,0.0,0.0,-0.94,0.59,0.0,0.84,-0.35,-0.33,-0.51,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.734,0.175,0.694,1.734,1.894
77,-32.775889415,POSCAR11894,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,-0.72,0.38,-0.38,0.27,-0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.354,0.013,0.837,1.237,1.919
78,-32.6843936775,POSCAR12180,0.0,0.0,0.0,0.0,-0.21,0.0,-0.86,0.0,0.33,0.0,-0.51,0.75,-0.52,0.0,-0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.458,0.161,0.836,1.677,1.877
79,-32.935152484375,POSCAR12274,0.0,0.35,0.0,0.0,0.0,0.0,0.0,-0.26,0.0,0.37,0.98,0.0,0.33,-0.35,0.0,0.0,0.0,0.0,0.0,-0.38,0.0,0.475,0.11,0.57,1.29,1.814
80,-32.76610342,POSCAR12399,0.36,0.0,-0.17,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.68,-0.61,0.0,0.585,0.173,0.479,1.179,1.829
81,-32.2802729825,POSCAR12409,0.0,0.0,0.0,-0.25,0.0,0.0,-1.02,0.05,1.17,0.0,0.0,-0.48,0.0,0.46,-0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.293,0.112,0.955,1.903,1.875
82,-33.062096228125,POSCAR12889,0.0,0.0,0.0,-0.36,0.56,-0.77,0.0,0.55,0.0,0.0,0.0,0.0,0.0,-1.1,-1.08,0.16,0.0,0.0,0.0,0.0,0.0,0.358,0.12,0.704,1.934,1.926
83,-31.9343917975,POSCAR13061,0.0,-0.35,0.0,0.0,0.96,0.0,0.0,-0.5,0.44,-0.35,-0.78,0.0,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.053,0.527,1.595,1.882
84,-32.401596715,POSCAR13419,0.58,-0.36,0.0,0.0,0.26,0.0,-0.19,0.0,0.47,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,-0.83,0.0,0.0,0.728,0.103,0.407,1.25,1.801
85,-32.898700445,POSCAR13498,0.0,0.0,-0.44,0.0,0.0,0.0,-0.72,-0.36,1.03,0.0,0.0,0.0,0.0,0.53,0.0,0.0,-0.26,0.0,0.32,0.0,0.0,0.433,0.098,0.729,1.534,1.842
86,-32.62769709875,POSCAR13559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.63,0.0,0.0,0.43,0.87,-0.82,0.0,0.12,0.0,0.0,0.0,-0.42,0.0,0.502,0.113,0.772,1.52,1.804
87,-32.327907603125,POSCAR13725,0.0,-0.89,0.0,0.4,-0.51,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.35,0.63,0.0,0.0,0.0,0.0,-0.18,0.0,0.587,0.048,0.664,1.393,1.816
88,-32.61391002625,POSCAR13749,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,-0.54,0.68,1.17,0.0,0.88,-0.57,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.483,0.078,1.001,1.838,1.818
89,-32.836229443125,POSCAR13771,0.0,-0.22,0.0,0.0,-0.38,0.0,0.0,0.0,0.11,0.0,0.56,0.65,0.74,0.0,0.0,-0.47,0.0,0.0,0.0,0.0,0.0,0.502,0.016,0.595,1.307,1.822
90,-32.096510176875,POSCAR13792,0.0,0.42,0.0,0.89,-1.04,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.3,0.0,0.54,0.0,0.0,0.0,0.29,0.0,0.0,0.635,0.035,0.887,1.696,1.801
91,-32.86924319625,POSCAR13863,0.0,0.0,0.0,-0.5,0.3,-0.98,-0.22,1.12,0.0,0.0,-0.54,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.151,0.462,1.709,1.91
92,-32.42291835125,POSCAR13993,0.0,-0.4,0.0,0.26,0.37,0.94,-0.15,0.0,-0.81,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624,0.154,0.78,1.524,1.836
93,-31.96698683625,POSCAR14258,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.76,-0.82,0.73,0.0,0.67,0.0,0.46,0.45,0.0,0.0,0.0,0.0,0.0,0.775,0.11,1.047,1.666,1.809
94,-33.1486828125,POSCAR14277,-0.32,0.29,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,0.28,0.0,0.0,0.79,-0.36,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.365,0.053,0.623,1.154,1.896
95,-9999.0,POSCAR14385,0.0,0.0,0.0,0.0,0.0,-0.67,0.0,0.88,-0.23,0.0,0.0,0.0,0.84,0.19,-0.93,0.0,0.0,0.1,0.0,0.0,0.0,0.165,0.083,0.991,1.701,1.853
96,-32.253460166875,POSCAR14410,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.15,-0.85,0.48,-0.31,0.0,0.0,0.0,0.21,0.0,0.181,0.056,0.999,1.905,1.912
97,-9999.0,POSCAR14679,0.0,0.0,0.0,0.0,0.0,1.03,-0.97,0.0,0.0,1.0,0.0,0.0,0.0,0.68,0.67,0.0,0.54,0.0,0.0,0.33,0.0,0.868,0.168,0.9,2.077,1.803
98,-32.32120565125,POSCAR14793,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-0.6,0.0,-0.12,0.0,0.0,0.43,-0.52,0.0,-1.12,0.61,0.0,0.756,0.259,0.643,1.57,1.839
99,-32.59856812375,POSCAR14796,0.0,-0.14,0.0,0.0,0.0,-0.16,-1.08,0.0,1.07,0.0,1.15,0.0,0.0,0.0,-0.41,0.0,0.0,0.0,0.0,0.24,0.0,0.203,0.158,0.813,1.976,1.823
100,-32.887930519375,POSCAR14962,0.0,0.22,0.0,0.0,0.0,-1.03,0.0,0.79,-0.18,0.0,0.92,-0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,0.0,0.588,0.233,0.569,1.892,1.857
101,-32.4396970525,POSCAR15051,-0.43,0.0,0.0,0.0,0.62,0.0,-1.1,0.0,1.17,0.09,0.0,0.0,-0.36,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.134,0.96,1.919,1.81
102,-32.63569806125,POSCAR15205,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.42,0.12,-0.55,0.0,-0.88,0.71,0.0,0.593,0.253,0.704,1.736,1.834
103,-33.047330221875,POSCAR15328,0.82,0.0,-0.39,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,-1.08,-0.9,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.488,0.063,0.61,1.716,1.835
104,-32.105801215,POSCAR15692,0.0,0.0,-0.46,0.0,0.0,-0.5,0.56,0.06,0.0,-0.66,0.0,-0.2,0.0,-1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.091,0.975,1.522,1.805
105,-33.04303686125,POSCAR15782,0.37,0.16,-0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,-1.09,0.62,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,0.777,1.63,1.864
106,-30.83940821875,POSCAR16065,-0.53,0.0,0.0,0.31,0.19,0.0,0.0,0.0,0.0,0.84,-0.17,0.2,0.0,-1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.0,1.15,1.606,1.851
107,-32.79344255,POSCAR16390,0.0,0.0,0.0,0.32,-0.35,0.27,0.0,-0.87,0.0,0.0,0.0,0.0,0.0,-1.18,-1.08,-0.05,0.0,0.0,0.0,0.0,0.0,0.584,0.065,0.791,1.902,1.89
108,-32.61725550125,POSCAR16407,0.0,-0.43,0.17,0.0,0.0,0.0,0.79,-0.21,0.0,-0.47,0.0,0.0,-0.69,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722,0.163,0.629,1.292,1.805
109,-32.4382101425,POSCAR16461,0.0,0.0,-0.42,-0.5,0.53,0.0,0.52,0.0,-0.98,0.0,0.12,0.0,0.0,0.0,-1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.457,0.047,0.912,1.748,1.81
