number,E,index,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,displ_Bi,displ_Fe,displ_O,norm,min_d
4574,-9999.0,POSCAR189513,0.0,0.0,0.4,0.0,0.16,0.0,-0.31,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,-0.12,0.39,0.0,0.0,0.0,0.0,0.669,0.07,0.658,1.279,1.864
4575,-9999.0,POSCAR189531,0.0,-0.27,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.83,-0.55,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.151,0.001,1.044,1.281,1.899
4576,-9999.0,POSCAR189533,0.48,0.0,-0.69,0.0,0.0,0.0,0.16,0.0,-0.76,0.26,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.549,0.074,0.893,1.461,1.805
4577,-9999.0,POSCAR189566,-0.38,0.0,0.0,0.0,0.0,-0.23,0.78,0.0,-0.43,0.0,0.0,0.0,0.0,0.7,0.0,-0.53,0.0,0.0,0.0,0.0,0.0,0.375,0.104,0.678,1.327,1.889
4578,-9999.0,POSCAR189590,0.0,0.0,0.0,0.0,0.0,-0.23,0.61,0.0,0.0,0.0,1.07,-0.08,0.0,-0.86,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.454,0.107,0.726,1.536,1.874
4579,-9999.0,POSCAR189623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.53,0.0,0.0,0.42,1.11,-0.34,-0.3,-0.32,0.0,0.0,0.0,0.327,0.056,0.746,1.413,1.883
4580,-9999.0,POSCAR189625,0.57,-0.57,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,0.266,0.013,0.524,1.079,1.884
4581,-9999.0,POSCAR189772,-0.88,1.14,0.0,0.66,0.0,0.0,0.0,0.0,-0.22,0.0,0.0,-0.24,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.724,0.032,0.498,1.628,1.849
4582,-9999.0,POSCAR189774,0.0,0.2,-0.42,-0.89,0.98,0.0,-0.11,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624,0.039,0.303,1.453,1.862
4583,-9999.0,POSCAR189785,0.0,-0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.23,0.0,0.37,0.0,0.38,0.0,0.0,0.0,0.28,0.456,0.015,0.852,1.045,1.85
